"","NG.A3080_CONTROL_STG_2024_001_D1","NG.A3080_CONTROL_STG_2024_001_D5","NG.A3080_CONTROL_STG_2024_001_D90","NG.A3080_CONTROL_STG_2024_002_D1","NG.A3080_CONTROL_STG_2024_002_D5","NG.A3080_CONTROL_STG_2024_002_D90","NG.A3080_CONTROL_STG_2024_003_D1","NG.A3080_CONTROL_STG_2024_003_D5_rep","NG.A3080_CONTROL_STG_2024_003_D90","NG.A3080_CONTROL_STG_2024_004_D1_rep","NG.A3080_CONTROL_STG_2024_004_D5","NG.A3080_CONTROL_STG_2024_004_D90","NG.A3080_CONTROL_STG_2024_005_D1_rep","NG.A3080_SOS_STG_2023_022_D1","NG.A3080_SOS_STG_2023_022_D90","NG.A3080_SOS_STG_2023_033_D1","NG.A3080_SOS_STG_2023_033_D5","NG.A3080_SOS_STG_2023_033_D90","NG.A3080_SOS_STG_2023_035_D1","NG.A3080_SOS_STG_2024_009_D1","NG.A3080_SOS_STG_2024_009_D90","NG.A3080_SOS_STG_2024_011_D5","NG.A3080_UIA_STG_2023_001_D1","NG.A3080_UIA_STG_2023_001_D90","NG.A3080_UIA_STG_2023_004_D1","NG.A3080_UIA_STG_2023_005_D1_rep","NG.A3080_UIA_STG_2023_005_D5_rep","NG.A3080_UIA_STG_2023_005_D90_rep","NG.A3080_UIA_STG_2023_007_D1_rep","NG.A3080_UIA_STG_2023_007_D5_rep","NG.A3080_UIA_STG_2023_007_D90_rep","NG.A3080_UIA_STG_2024_014_D1_rep","NG.A3080_UIA_STG_2024_014_D5_rep","NG.A3080_UIA_STG_2024_014_D90"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Prevotella",0.385318614681385,0.139571256141305,0.515089575447877,0,0,0,0.0664909335090665,0.0729684892205755,0.00550599449400551,0,0,0,0.011001988998011,0,0,0.0871607385177844,0.00823206585652685,0.090887727336818,0,0.0015580155801558,0.000104999475002625,0,0.239972080223358,0.100823504117521,0.756723459659242,0,0.109971,0.293685825256699,0,0.106841534207671,0.0612318775362449,0.0502379497620502,0.039021039021039,0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus",0.000247999752000248,0.00174901574114167,0.0012440062200311,0.00218800437600875,0.001273,0.00156599373602506,0.00924299075700924,0.0458636789542473,0.00303499696500303,0.00218701312207873,0.003142,0.0011949988050012,0.00204699795300205,0.0064940259761039,0.00120100600503003,0.0224909325272024,0.142622140977128,0.0189589431231706,0,0.00822608226082261,0.00958695206523967,0.0125469623591129,0.00319397444820441,0.000445002225011125,0.00164499013005922,0.000695997912006264,0.315534,0.204562181751273,0.011527,0.229738148690743,0.172321655356689,0.407739592260408,0.397978397978398,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides",0.00629299370700629,0.007753069777628,0.00295901479507398,0.0110820221640443,0.023478,0.0115209539161843,0.0242289757710242,0.0459626782612522,0.0287149712850287,0.0278421670530023,0.074888,0.0278589721410279,0.0375079624920375,0.168899675598702,0.110486552432762,0.037447887656337,0.0356452851622813,0.0353898938303185,0.30758761517523,0.0226742267422674,0.168975155124224,0.055783832648502,0.00169698642410861,0.00225701128505643,0.00524696851818889,0.0806117581647255,0,0,0.031291,0,0,0.00192899807100193,0.000891000891000891,0.205587822351289
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia_A",0.0457739542260458,0.0276462488162393,0.0305511527557638,0.0379360758721517,0.026915,0.0576417694329223,0.0347269652730347,0.0384307309848831,0.0360929639070361,0.0583433500601004,0.020872,0.0168379831620168,0.122374877625122,0.067439269757079,0.0764473822369112,0.0924327227018319,0.062952503620029,0.0928487214538357,0.0219340438680877,0.0428784287842878,0.0526137369313153,0.101233696298911,0.0552265581875345,0.0461142305711529,0.025999844000936,0.0654768035695893,0,0,0.051948,0,0,0,0,0.0553162212648851
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola",0.0124629875370125,0.0221261991357922,0.00532102660513303,0.0764761529523059,0.063487,0.0541107835568658,0.0383239616760383,0.0563106058257592,0.0257809742190258,0.0574323445940676,0.077177,0.0262909737090263,0.0793679206320794,0.0791683166732667,0.0665763328816644,0.0828287515137455,0.0175671405371243,0.0852437442687672,0.083247166494333,0.0162831628316283,0.216148919255404,0.0421978734063798,0.000961992304061568,0.00425102125510628,0.00747195516826899,0.0411748764753706,0,0.000235999056003776,0.02587,0,0,0.000357999642000358,0,0.0448681794727179
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium",0,0,0.000587002935014675,0.332837665675331,0.238082,0.184010263958944,0.00313399686600313,0.00446096877321859,0.00111699888300112,0.00768004608027648,0.010692,0.0425529574470426,0.00141199858800141,0.0242780971123884,0.00475102375511878,0.0016109951670145,0.00294102352818823,0.00164999505001485,0.0139590279180558,0.0808428084280843,0.00265298673506632,0.00335898992303023,0.00907292741658067,0.0006560032800164,0.0111279332324006,0.258428224715326,0.000604,0.0117089531641873,0.022409,0.00018600093000465,0,0.00194099805900194,0.000233000233000233,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Acutalibacteraceae|g__Ruminococcus_E",0.000856999143000857,0.00230802077218695,0.00329701648508243,0.0181360362720725,0.0823,0.112739549041804,0.109092890907109,0.0258448190862664,0.00218799781200219,0.132108792652756,0.057727,0.0618959381040619,0.0729319270680729,0.0267611070444282,0.108629543147716,0,0,0,0,0.0137311373113731,0.0387128064359678,0.00822797531607405,0.018327853377173,0.129810649053245,0.00310898134611192,0.0853117440647678,0,0,0.098305,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium",0.0781889218110782,0.0774366969302724,0.0488662443312217,0.0574121148242297,0.019129,0.0259078963684145,0.0228779771220229,0.122277144059992,0.047960952039048,0.0157740946445679,0.005359,0.000738999261000739,0.0145669854330146,0.0758043032172129,0.0469482347411737,0.0822917531247406,0.026484211873695,0.0784687645937062,0,0.017870178701787,0.0340758296208519,0.128335614993155,0.0597845217238262,0.0215821079105396,0.0233098601408392,0.0141999574001278,0,0,0.040704,0,0,0,0,0.015562062248249
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter",0.00234599765400235,0.00122301100709906,0.00117700588502943,0.00610301220602441,0.028449,0.0212439150243399,0.0148249851750148,0.00210798524410329,0.00931599068400932,0.0217351304107825,0.052431,0.0268729731270269,0.0594389405610594,0.0449781799127196,0.00443902219511098,0.163585509243472,0.0988057904463236,0.164987505037485,0.00078000156000312,0.0047980479804798,0.0113439432802836,0.0655278034165897,0.0102529179766562,0.0135070675353377,0.00413497519014886,0.00921897234308297,0,0,0.02391,0,0,0,0,0.00440101760407042
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella",0.00913099086900913,0.00769106921962298,0.00728203641018205,0.0573351146702293,0.088192,0.0651547393810425,0.0146819853180147,0.0317017780875534,0.0292439707560292,0.032083192499155,0.010116,0.100580899419101,0.00562099437900562,0.0205330821323285,0.00285101425507128,0.0271769184692446,0.0656045248361987,0.0291999124002628,0.00094500189000378,0.0235682356823568,0,0.0153649539051383,0.120587035303718,0.00839004195020975,0.00481997108017352,0.0340808977573067,0,0,0.035251,0,0,0,0,0.00194500778003112
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Gemmiger",0.00836299163700836,0.00722706504358539,0.0079680398401992,0.026748053496107,0.037772,0.0331658673365307,0.0257309742690257,0.0586465894738737,0.0205939794060206,0.0380052280313682,0.040618,0.0550919449080551,0.0407119592880407,0.0167330669322677,0.0273051365256826,0.0198719403841788,0.0147951183609469,0.0214189357431928,0,0.0176571765717657,0.0106979465102674,0.118360644918065,0.00611495108039136,0.00476202381011905,0.00618696287822273,0.0175209474371577,0,0,0.02045,0,0,0,0,0.00292401169604678
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Micrococcaceae|g__Rothia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001750014000112,0,0,0,9.399953000235e-05,0,0,0,0,0,0.093087,0.0187539249843001,0.000465,0.129547647738239,0.0238289523420953,0.2002687997312,0.1999191999192,0
"k__Bacteria|p__Bacillota_C|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella",0,0,0,0,0,0,0,0,0,0,0,0,7.999992000008e-05,0.0049310197240789,0.00057800289001445,0.000753997738006786,0.00556704453635629,0.00107099678700964,0,0,0.0007319963400183,0.00175099474701576,0,0,0,0,0.146553,0.104069583721665,0,0.103250516252581,0.0410909178181644,0.0866149133850866,0.0625940625940626,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes",0.000375999624000376,0.00165301487713389,0.000701003505017525,0.0103180206360413,0.023381,0.0172969308122768,0.0223599776400224,0.0163798853408026,0.0247839752160248,0.029527177163063,0.037902,0.0434479565520434,0.0117909882090118,0.0329921319685279,0.0155330776653883,0,0.00378303026424211,0,0.0663921327842656,0.031230312303123,0.017479912600437,0.00312099063702809,0.000855993152054784,0.00114200571002855,0.010387937672374,0.0095889712330863,0,0,0.089469,0,0,0,0,0.00704802819211277
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Agathobacter",0.0127249872750127,0.00114101026909242,0.013920069600348,0.0525531051062102,0.001123,0.00700297198811205,0.0464399535600464,0.00628395601230791,0.000601999398000602,0,0,0.000334999665000335,0.0583089416910583,0.00635502542010168,0.0160230801154006,0.00693797918606244,0.0034390275122201,0.00652498042505872,0,0.0011260112601126,0.0206428967855161,0.00138099585701243,0.0202918376652987,0.0141390706953535,0.0218728687627874,0.10884367346898,0,0,0.034924,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Vescimonas",0.00190699809300191,0.0419813778324005,0.00720003600018,0,0,0,0.0241669758330242,0.0250348247562267,0.0616489383510617,0,0,0,0.00180899819100181,0.0204820819283277,0.00640903204516022,0.0203599389201832,0.115052920423363,0.0205959382121854,0,0.00809908099080991,0.00458697706511467,0.0101739694780916,0.00350197198422413,0.0115460577302887,0.00036999778001332,0.00393498819503542,0,0,0.013432,0,0,0,0,0.000869003476013904
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides",0.0139019860980139,0.0262362361261251,0.00713803569017845,0.00221000442000884,0.003,0.0046749813000748,0.00308099691900308,0.00542996199026607,0.00334099665900334,0.0234031404188425,0.043576,0.0170519829480171,0.0204019795980204,0.017378069512278,0.00673703368516843,0.0178469464591606,0.025515204121633,0.018551944344167,0.0209420418840838,0.00617506175061751,0.0243898780506097,0.00226099321702035,0.00126998984008128,0.00244701223506118,0.00137599174404954,0.0105469683590949,0,0,0.004927,0,0,0,0,0.0636912547650191
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Neisseriaceae|g__Neisseria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052708,0,0,0.00918204591022955,0.324463351073298,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia",0,0.000222001998017982,0,0,0.000193,0.000124999500002,0.000484999515000485,0.000550996143026999,0.00210799789200211,0,0.000632,0.000470999529000471,0,0.012249048996196,0.000331001655008275,0.0393438819683541,0.0602214817718542,0.0412468762593712,0.0940831881663763,0.0117241172411724,0.0010999945000275,0.000131999604001188,7.7999376004992e-05,7.1000355001775e-05,0,0,0,0.00028499886000456,0.000823,0,0,0,0,0.0966163864655459
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Succinivibrionaceae|g__Succinivibrio",0.0099039900960099,0.0509644586801281,0.0270161350806754,0.0270730541461083,0.011004,0.0842306630773477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158268733850129,0.0849004245021225,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_I|c__Bacilli_A|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella",0.0121379878620121,0.0123471111240001,0.00941004705023525,0,0,0,0.00996299003700996,0.00134099061306571,0.00886999113000887,0,0,0,0.0073029926970073,0,0,0.0869697390907827,0.052922423379387,0.0824937525187424,0,0.0136361363613636,0,0,0.00305997552019584,0.00355401777008885,0.00562196626820239,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Alloprevotella",0.0703079296920703,0.0319182872645854,0.0360771803859019,0,0,0,0.0101109898890101,0.00431896976721163,0.00298699701300299,0,0,0,0,0,0,8.7999736000792e-05,0,0,0,0,0,0,0.0208978328173375,0.0044720223601118,0,0,0.009435,0.010687957248171,0,0.0231781158905795,0.0196699606600787,0.00442499557500443,0.00281600281600282,0.0483281933127733
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pasteurellaceae|g__Haemophilus_D",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015500062000248,8.200041000205e-05,0.000506998479004563,0,0.00108599674200977,0,0,0.000772996135019325,8.3999748000756e-05,0,0,0,0,0.042516,0.00713597145611418,0.001359,0.0319571597857989,0.160196679606641,0.00945599054400946,0.0402710402710403,0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia",0,0.000174001566014094,0.000233001165005825,0,0,0,0.00057999942000058,0.000131999076006468,0.000866999133000867,0,0,0.00238199761800238,0.000124999875000125,0.000126000504002016,0,0.000924997225008325,0.00454103632829063,0.000810997567007299,0,0.001060010600106,0.0003079984600077,0.00015999952000144,0.000433996528027776,0,0,0,0.02103,0.0952096191615234,0.001188,0.088758443792219,0.0023009953980092,0.0171669828330172,0.0218850218850219,0
"k__Bacteria|p__Bacillota_I|c__Bacilli_A|o__Erysipelotrichales|f__Coprobacillaceae|g__Catenibacterium",0.0308789691210309,0.0130631175680581,0.0196820984104921,0.0187700375400751,0.012667,0.0323958704165183,0,0,0,0,0,0,0,0,0,0.00355298934103198,0.00564904519236154,0.00347498957503127,0,0,0,0,0.0307567539459684,0.0184030920154601,0,0.04777485667543,0,0,0.016911,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerobutyricum",0.0158729841270159,0.00939608456476108,0.00855904279521398,0.00536101072202144,0.002643,0.00828296686813253,0.00443999556000444,0.00295797929414494,0.00331699668300332,0.0324231945391672,0.001614,0.00126699873300127,0.0115639884360116,0.00396001584006336,0.0039640198200991,0.0116869649391052,0.0164191313530508,0.0114129657611027,0.0274430548861098,0.0020110201102011,0.00314998425007875,0.0059439821680535,0.00763293893648851,0.0062080310401552,0.00253698477809133,0.0185739442781672,0,0,0.009218,0,0,0,0,0.00926303705214821
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospira",0.00603399396600604,0.00214901934117407,0.0052480262401312,0.00743901487802976,0.004013,0.0154659381362475,0.00238099761900238,0.00461096772322594,0.00335099664900335,0.00577103462620776,0.001026,0.00111999888000112,0.0178299821700178,0.0077190308761235,0.0337821689108446,0.00394598816203551,0.0115430923447388,0.00406298781103657,0,0.02790027900279,0.0160639196804016,0.000567998296005112,0.00662694698442412,0.0243351216756084,0.00199298804207175,0.00471498585504243,0,0,0.002834,0,0,0,0,0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Granulicatella",0,0,0,0,0,0,0,7.6999461003773e-05,0,0,0,0,0.000190999809000191,0.000916003664014656,0,0.000781997654007038,0.00400503204025632,0.000442998671003987,0,0,0,0.00118699643901068,0,0,0,0,0.061399,0.00792996828012688,0,0.0132890664453322,0.0428559142881714,0.0294969705030295,0.0451660451660452,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Ruminiclostridium_E",0.00289099710900289,0.0166801501213511,0.00493102465512328,0.000367000734001468,0.000712,0.000242999028003888,0.0202439797560202,0.0088999377004361,0.0349219650780349,0.0200621203727222,0.017286,0.0117009882990117,0.0386109613890386,0,0,0,0,0,0,0.0024440244402444,0,0,0.00146198830409357,0.0142750713753569,0,0.000846997459007623,0,0,0.002872,0,0,0,0,0
"k__Bacteria|p__Bacillota_C|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas",0.0261199738800261,0.0346563119068072,0.0481512407562038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430596555227558,0.0471672358361792,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Acutalibacteraceae|g__CAG-217",0.0026019973980026,0.00772106948962541,0.0033520167600838,0.0210390420780842,0.017743,0.0233249067003732,0.00396299603700396,0.000365997438017934,0.0330839669160331,0,0,0,0,0.0164950659802639,0.00768703843519218,0,0,0,0,0.0125951259512595,0,0.00749397751806745,0.0307567539459684,0.0066720333601668,0.00200898794607232,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Fusicatenibacter",0.00264899735100265,0.000962008658077923,0.00277001385006925,0.011988023976048,0.014239,0.0111469554121784,0.00804699195300805,0.00272798090413367,0.00789099210900789,0,0,0,0.018017981982018,0.00621402485609942,0.0106850534252671,0.00867597397207808,0.00101600812806502,0.00899497301508096,0,0.0029650296502965,0.00188699056504717,0.00148299555101335,0.0061609507123943,0.00296501482507413,0.00109299344203935,0.0307529077412768,0,0,0.029319,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Acutalibacteraceae|g__Fimenecus",0,0,0,0,0,0,0.0213689786310214,0.0369957410298128,0,0,0,0,0.0114339885660114,0,0,0.0018559944320167,0.0178251426011408,0.00191499425501724,0,0,0.0492707536462318,0,0.0101609187126503,0.0127680638403192,0.00347397915612506,0.000863997408007776,0,0,0.018913,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Dorea_A",0.0172059827940172,0.00730506574559171,0.0151120755603778,0.0017990035980072,0.002482,0.00523197907208371,0.0314909685090315,0.0134519058366591,0.0184519815480184,0.00619203715222291,0.000432,0.00186399813600186,0.00575899424100576,0.0122850491401966,0.0053240266201331,0,0.000357002856022848,0,0,0.00789007890078901,0,0.00333498999503002,0.00300797593619251,0.00522102610513053,0.00585996484021096,0.00867297398107806,0,0,0.00746,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia",0.00546999453000547,0.00651805866252796,0.00248501242506213,0.00486800973601947,0.000454,0.00677297290810837,0.0023019976980023,0.00291497959514283,0.000436999563000437,0.018471110826665,0.002059,0.00833199166800833,0.0177749822250178,0.00779603118412474,0.0119810599052995,0.0156119531641405,0.00169701357610861,0.0160159519521441,0,0.0014930149301493,0.00128999355003225,0.00412998761003717,0.00209698322413421,0.0034880174400872,0.00280798315210109,0.00924597226208321,0,0,0.024215,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella",0,0,0,0.000984001968003936,0.003386,0.00390498438006248,0.00808899191100809,0.00410297127920105,0.00407499592500407,0.0276271657629946,0.025272,0.0145799854200146,0.0174529825470175,0.022625090500362,0.0104920524602623,0,0,0,0,0.0026520265202652,0.00695096524517377,0.00761197716406851,0.000361997104023168,0.0005800029000145,0.000886994678031932,0.00215199354401937,0,0,0.000552,0,0,0,0,0.0133170532682131
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Acutalibacteraceae|g__CAG-177",0,0.0296582669244023,0.000281001405007025,0,0,0,0.0314909685090315,0.0469556713103008,0.00048999951000049,0,0,0,0,0.000348001392005568,0,0,0.000211001688013504,0,0,0.0287732877328773,0.00934995325023375,0,0.00150998792009664,0.0145120725603628,0,0,0,0,0.007066,0,0,0,0,0
"k__Bacteria|p__Bacillota_C|c__Negativicutes|o__Veillonellales|f__Dialisteraceae|g__Dialister",0,0,0,0.020238040476081,0.007999,0.00924196303214787,0,0,7.8999921000079e-05,0.000134000804004824,0,0,0.00786099213900786,0,0,0,9.4000752006016e-05,0,0.00344000688001376,0.0340523405234052,0.00121799391003045,0,0.0384466924264606,0.0160330801654008,0.0153819077085537,0,0.000354,0.000608997564009744,0.00901,0.000575002875014375,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__TANB77|f__CAG-508|g__CAG-273",0.00251699748300252,0.0354923194308749,0.00274101370506853,0,0,0.000702997188011248,0.000551999448000552,0,0.00704999295000705,0.00161900971405828,0.007747,0.000224999775000225,0.000131999868000132,0.00146100584402338,0.0314191570957855,0,0,0,0,0.00492804928049281,0,0.00105899682300953,0.00373297013623891,0.0157650788253941,0,0.00279799160602518,0,0,0.044173,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__UBA932|g__Cryptobacteroides",0.00204299795700204,0.0247102223920015,0.00365801829009145,0,0,0,0.0468169531830468,0.0285168003823973,0.0261949738050262,0,0,0,0.00296999703000297,0,0,0,0,0,0,0.00619406194061941,0.0026559867200664,0,0.00284897720818233,0.0169520847604238,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Wujia",0.00434199565800434,0.0170471534243808,0.00905804529022645,0,0,0,0.000843999156000844,0.000858993987042091,0.00538199461800538,0,0,0,0.0429009570990429,0,0,0,0,0,0,0.0262592625926259,0,0,0.0128328973368213,0.0298721493607468,0.00600096399421603,0,0,0,0.003695,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor",0.00993099006900993,0.0165171486543379,0.00585402927014635,0.001250002500005,0.00097,0.00182099271602914,0.0149169850830149,0.00578295951928336,0.0125449874550125,0,0,0,0.00433499566500433,0.00919303677214709,0.0249771248856244,0.00354698935903192,0.0017890143121145,0.00378198865403404,0,0.0023430234302343,0.0038119809400953,0.000375998872003384,0.00315997472020224,0.0176230881154406,0.00422997462015228,0.000187999436001692,0,0,0.004512,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Faecousia",0,0.00361503253529282,0.000441002205011025,0.00134500269000538,0.026738,0.00132699469202123,0.0156589843410157,0.0121339150625946,0.0196269803730196,0,0,0.0367509632490367,0.00241199758800241,0.00716802867211469,0.00317501587507938,0.000380998857003429,0.000237001896015168,0.00053999838000486,0,0.00514605146051461,0.000534997325013375,0.00224699325902022,0.00230198158414733,0.00358601793008965,0.000365997804013176,0.000487998536004392,0,0,0.004517,0,0,0,0,0.000344001376005504
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__RF32|f__CAG-239|g__Scatacola_A",0.000193999806000194,0.000569005121046089,0,0,0,0,0.000215999784000216,0,0.00638299361700638,0.0622793736762421,0.062538,0.0107909892090108,0,0,0,0,0,0,0,0,0,0.000653998038005886,0,0,0,0,0,0,0.006619,0,0,0,0,0.00024500098000392
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes",0.00794299205700794,0.00104700942308481,0.00188900944504723,0.0061490122980246,0.00596,0.00446498214007144,0.00186099813900186,0.00102999279005047,0.0037039962960037,0.00436602619615718,0.002943,0.00101999898000102,0.0101159898840101,0.0113000452001808,0.0110910554552773,0.00237299288102136,0.00404503236025888,0.00213899358301925,0.0021760043520087,0.0266152661526615,0.000758996205018975,0.00725397823806529,0.000751993984048128,0.0005520027600138,0.00209798741207553,0.00539698380904857,0,0,0.008203,0,0,0,0,0.00389601558406234
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Hominimerdicola",0,0,0,0.0238880477760956,0.007707,0.0207339170643317,0.00163299836700163,0.0110419227065411,0.00687699312300688,0,0,0,0.00113699886300114,0.00275801103204413,0.0279081395406977,0,0,0,0,0.0018670186701867,0.0187659061704691,0.00128299615101155,0.000370997032023744,0.0022440112200561,0,0,0,0,0.011766,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Dysosmobacter",0.00702599297400703,0.0045370408333675,0.00600503002515012,0.00275900551801104,0.005458,0.00142599429602282,0.0032959967040033,0.00513296406925152,0.00492799507200493,0.00463002778016668,0.003471,0.00988499011500988,0.00274399725600274,0.00895303581214325,0.00312101560507803,0.00515698452904641,0.00372302978423827,0.00567098298705104,0.00625801251602503,0.0024130241302413,0.00401697991510042,0.00205099384701846,0.00140398876808986,0.00427702138510693,0.000796995218028692,0.0047329858010426,0,0,0.004663,0,0,0,0,0.0153660614642459
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__CAG-170",0.000418999581000419,0.0153751383762454,0.0019160095800479,0.000814001628003256,0.02166,0.00311198755204979,0.00556399443600556,0.00644395489231576,0.0168189831810168,0,0,0,7.6999923000077e-05,0.00465801863207453,0.0152950764753824,0,0,0,0,0.0115511155111551,0.0017759911200444,0.000307999076002772,0.00382396940824473,0.0104620523102616,0.000401997588014472,0,0,0,0.010521,0,0,0,0,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Enterocloster",0.00761599238400762,0.00795707161364452,0.0030600153000765,0.000752001504003008,0.001268,0.00088999644001424,0.000865999134000866,0.00162398863207958,0.00112599887400113,0.00303701822210933,0.004603,0.00264099735900264,0.0022049977950022,0.000876003504014016,0.00057000285001425,0.000852997441007677,0.00470603764830119,0.000926997219008343,0.00486100972201944,0.000724007240072401,0.00163299183504082,0.022998931003207,0.00433996528027776,0.00203901019505098,0.00136799179204925,0.00913597259208222,0,0,0.000959,0,0,0,0,0.03437513750055
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas",0,0,0,0,0,0,0,0,0.00115199884800115,0,0,6.6999933000067e-05,0,0,0,0,0,0,0,0.0001760017600176,0,0,0,0,0,0,0.011554,0.00237999048003808,0,0.00484502422512113,0.0598538802922394,0.0351899648100352,0.0114940114940115,0
"k__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia",0.013963986036014,0.0040160361443253,0.00288101440507203,0,0,0,0,0,0,0.0163190979145875,0.018893,0.0152069847930152,0.00415499584500416,0.000242000968003872,0,0.00462498612504163,0.00195101560812486,0.00427398717803847,0.00915801831603663,0,0.0006239968800156,0.00265299204102388,0,0.0006840034200171,0,0,0,0,0,0,0,0,0,0.0230980923923696
